Year,Month_num,Month,kg/ha
2018,1,Jan,27.68037308
2018,2,Feb,58.58110362
2018,3,Mar,88.30266581
2018,4,Apr,137.1631631
2018,5,May,87.68032553
2018,6,Jun,31.57814819
2018,7,Jul,25.41136729
2018,8,Aug,29.66493228
2018,9,Sep,119.4072431
2018,10,Oct,84.05256773
2018,11,Nov,26.88263425
2018,12,Dec,60.4960629
2019,1,Jan,127.6034
2019,2,Feb,97.75149153
2019,3,Mar,45.98650488
2019,4,Apr,80.50175233
2019,5,May,35.41874187
2019,6,Jun,8.760734086
2019,7,Jul,11.77498434
2019,8,Aug,14.46787252
2019,9,Sep,70.57240697
2019,10,Oct,29.0961191
2019,11,Nov,48.12151099
2019,12,Dec,90.28869713
2020,1,Jan,60.37504927
2020,2,Feb,37.87109964
2020,3,Mar,2.390738231
2020,5,May,70.10346517
2020,6,Jun,2.331629936
2020,7,Jul,21.00709683
2020,8,Aug,26.7659534
2020,9,Sep,20.83939126
2020,10,Oct,10.86605442
2020,11,Nov,9.592405579
2020,12,Dec,41.78024003
2021,1,Jan,11.01470805
2021,2,Feb,59.42173055
2021,3,Mar,26.31313901
2021,4,Apr,68.98281245
2021,5,May,29.07506472
2021,6,Jun,11.82245129
2021,7,Jul,28.47939852
2021,8,Aug,76.6644139
2021,9,Sep,56.08698533
2021,10,Oct,125.9629917
2021,11,Nov,31.52817559
2021,12,Dec,31.6972204
2022,1,Jan,42.85701899
2022,2,Feb,17.588309
2022,3,Mar,49.35038153
2022,4,Apr,59.10848772
2022,5,May,38.64365001
2022,6,Jun,9.341244349
2022,7,Jul,5.205994853
2022,8,Aug,9.479440362
2022,9,Sep,58.86027253
2022,10,Oct,33.00702613
2022,11,Nov,9.634636016
2022,12,Dec,4.368623885
